candidateId,officialReportTitle,agency,year,aircraft,operationType,officialUrl,whyUsefulForSERA,factualDataAvailable,likelyHumanFactorAxis,sourceConfidence,notes,downloadStatus,finalUrl,contentType,localFile,txtFile,fileSizeBytes,sha256,textExtractionStatus,notesArchive
32,"Crash During Nonprecision Instrument Approach, Execuflight Flight 1526 Akron (NTSB/AAR-16/03)",NTSB (USA),2016,Hawker HS 125-700A,Part 135 on-demand charter,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR1603.pdf,"Unstabilized nonprecision approach with descent below MDA, crew fatigue and SOP violations.","CVR/FDR, detailed approach and company HF context.",Approach monitoring; continuation bias; power/configuration/actions to stall.,HIGH,Modern business-jet HF showcase.,DOWNLOADED,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR1603.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.txt,2613262,b3e882ffca6c9ab6a153426e28ec917c5129f4b2d43e41bfddaf4fcfdfba9aea,TXT_EXTRACTED,
33,Crash of Pinnacle Airlines Flight 3701 CRJ-200 Jefferson City (NTSB/AAR-07/01),NTSB (USA),2007,CRJ-200,Non-revenue positioning flight Part 121,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR0701.pdf,"Intentional climb to maximum altitude, engine flameouts and dual-engine failure mismanagement.","CVR/FDR, engine data, human-performance factual.",Risk perception; goal of “performance experiment”; checklist and restart actions.,HIGH,"Rich for studying risk-taking, norms and checklist use.",DOWNLOADED,https://www.ntsb.gov/investigations/AccidentReports/Reports/AAR0701.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/33__2007__NTSB-USA__CRJ-200__Crash-of-Pinnacle-Airlines-Flight-3701-CRJ-20.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/33__2007__NTSB-USA__CRJ-200__Crash-of-Pinnacle-Airlines-Flight-3701-CRJ-20.txt,1817349,c33ddde9a6531efd0d2951c02c6f705e7417576f88554304c520a24ae78a36da,TXT_EXTRACTED,
34,"Main Gearbox Malfunction/Collision with Water, Cougar Helicopters Flight 91 Sikorsky S-92A (TSB A09A0016)",TSB Canada,2011,Sikorsky S-92A,Offshore HEMS/transport,https://tsb.gc.ca/eng/rapports-reports/aviation/2009/a09a0016/A09A0016.pdf,"Loss of MGB oil pressure, return-to-base decision, ditching attempt and survival issues.","FDR/CVR, gearbox parameters, descent/ditch timeline.",Failure/SA; decision to continue vs immediate ditch; approach/ditch control actions.,HIGH,Key rotorcraft HF case for overwater operations.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
35,"Fuel Planning Event, Weather-related Event and Ditching VH-NGA Norfolk Island (ATSB AO-2009-072, reopened)",ATSB Australia,2017,IAI Westwind 1124A,Aeromedical (air ambulance),https://www.atsb.gov.au/investigations/ao-2009-072,"Remote-island aeromedical flight with insufficient fuel for alternates, unforecast weather and night ditching.","Extensive factual report, including planning, weather info flow and four failed approaches.",Flight/meteorology SA; decision to continue without alternate; approach/ditch actions.,HIGH,"Deep HF discussion on fuel planning, weather, regulatory oversight.",DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,timeout('The read operation timed out')
36,"Aircraft Accident Report AAR-91/08 – Runway Collision of USAir Flight 1493 and SkyWest Flight 5569, LAX",NTSB (USA),1991,Boeing 737-300 / Fairchild Metroliner SA-227-AC,Part 121 scheduled passenger (arrival) + commuter departure,https://www.faa.gov/sites/faa.gov/files/2022-11/aar91-08.pdf,"Runway incursion/collision with strong ATC and tower human factors: loss of situational awareness, strip management, redundant checks.","Full NTSB AAR with CVR/ATC transcripts, detailed ground/tower timeline and runway occupancy sequence.",Tower/ATC SA; intention to keep traffic flowing; clearances/callouts/monitoring actions.,HIGH,"Excellent for non-flightdeck HF (ATC, tower procedures) and coordination with flight crew.",DOWNLOADED,https://www.faa.gov/sites/faa.gov/files/2022-11/aar91-08.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/36__1991__NTSB-USA__Boeing-737-300-Fairchild-Metroliner-SA-227-AC__Aircraft-Accident-Report-AAR-91-08-Runway-C.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/36__1991__NTSB-USA__Boeing-737-300-Fairchild-Metroliner-SA-227-AC__Aircraft-Accident-Report-AAR-91-08-Runway-C.txt,8328299,66821145a42ed227834a212bcb2db7883792eab2590777dc8984c15ddf91bdbc,TXT_EXTRACTED,
37,"Aircraft Accident Report AAR-82/08 – Air Florida Flight 90, Boeing 737-222, Washington National",NTSB (USA),1982,Boeing 737-222,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar8208.pdf,"Takeoff in severe winter conditions with inadequate de-icing, misuse of anti-ice and power-setting errors; classic case of winter-ops decision making.","NTSB AAR with CVR, performance data, de-icing/ATC timelines and power-setting analysis.","Weather/SA; intention to depart despite degraded conditions; thrust-setting, anti-ice and reject/continue actions.",HIGH,Rich scenario for modelling layered latent conditions and crew decision chain (Swiss-cheese style).,DOWNLOADED,https://www.ntsb.gov/investigations/accidentreports/reports/aar8208.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/37__1982__NTSB-USA__Boeing-737-222__Aircraft-Accident-Report-AAR-82-08-Air-Flor.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/37__1982__NTSB-USA__Boeing-737-222__Aircraft-Accident-Report-AAR-82-08-Air-Flor.txt,7754445,0d2692777ea21e65b25fbb91b9f461df78478fa211ca64bb2f7a2bb06103437a,TXT_EXTRACTED,
38,"Aircraft Accident Report – Eastern Air Lines Flight 401, L-1011, Everglades CFIT (1972)",NTSB (USA),1973,Lockheed L-1011-1 TriStar,Part 121 scheduled passenger,https://www.faa.gov/sites/faa.gov/files/Eastern_Air_Lines_Flight_401.pdf,"CFIT while crew is distracted troubleshooting a nose-gear indicator light; archetypal case of fixation, mode unawareness and automation misinterpretation.","CVR/FDR with gradual-descent profile, detailed transcript of gear-light discussion and altitude callouts (or lack thereof).",Flightpath/altitude SA; intention to solve minor technical issue; autopilot/altitude-hold and monitoring actions.,HIGH,Foundational HF case for distraction/fixation and monitoring in otherwise benign conditions.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
39,Aircraft Accident Report AAR-10/03 – US Airways Flight 1549 Ditching on the Hudson River,NTSB (USA),2010,Airbus A320-214,Part 121 scheduled passenger,https://www.ntsb.gov/investigations/accidentreports/reports/aar1003.pdf,"Loss of thrust in both engines after bird strike and successful ditching; exemplary case of effective SA, crew coordination and decision making under time pressure.","Full CVR/FDR, bird-strike data, dual-engine failure and ditching timeline.","Emergency SA; goal redefinition to maximize survivability; glide, configuration and ditching control actions.",HIGH,Useful também como contrafactual positivo (good HF performance) para calibrar SERA.,DOWNLOADED,https://www.ntsb.gov/investigations/accidentreports/reports/aar1003.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/39__2010__NTSB-USA__Airbus-A320-214__Aircraft-Accident-Report-AAR-10-03-US-Airwa.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/39__2010__NTSB-USA__Airbus-A320-214__Aircraft-Accident-Report-AAR-10-03-US-Airwa.txt,5994104,fe9e1733e8400f3ea9ce0832f36d934c829ac369e8a66765dc423d18973640ef,TXT_EXTRACTED,
40,"Aircraft Accident Report AAR-86/05 – Delta Air Lines Flight 191, L-1011, DFW Microburst Accident",NTSB (USA),1986,Lockheed L-1011-385-1 TriStar,Part 121 scheduled passenger,https://commons.wikimedia.org/wiki/File:Delta-Air-Lines-Flight-191-NTSB-Final-Report-AAR-86-05.pdf,Approach into a thunderstorm microburst environment with limited windshear training and guidance; strong weather-avoidance and risk-perception content.,"NTSB AAR with CVR/FDR, Doppler/windshear data, microburst penetration timeline and ATC/weather information flow.",Weather/approach SA; intention to continue approach in convective cell; thrust/attitude corrections in shear.,HIGH,Classic windshear HF accident with rich technical and human-performance material.,DOWNLOADED,https://commons.wikimedia.org/wiki/File:Delta-Air-Lines-Flight-191-NTSB-Final-Report-AAR-86-05.pdf,text/html; charset=UTF-8,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/40__1986__NTSB-USA__Lockheed-L-1011-385-1-TriStar__Aircraft-Accident-Report-AAR-86-05-Delta-Ai.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/40__1986__NTSB-USA__Lockheed-L-1011-385-1-TriStar__Aircraft-Accident-Report-AAR-86-05-Delta-Ai.txt,104519,d0dbb9aad1df6c712000f15f84685aae26685ac71efd54356f23c6006499ae63,TXT_EXTRACTION_FAILED_OR_SKIPPED,
41,In-flight Uncontained Engine Failure Airbus A380-842 VH-OQA Qantas Flight 32 (ATSB AO-2010-089),ATSB Australia,2013,Airbus A380-842,International scheduled passenger,https://www.atsb.gov.au/news/2022/flight-uncontained-engine-failure-airbus-a380,"Massive systems damage after uncontained engine failure; outstanding crew resource management, workload sharing and decision making over extended period.","ATSB final report with ECAM message sequences, systems damage mapping and detailed timeline from failure to landing.",Systems/SA; objective to stabilize and diagnose before return; checklist management and configuration/landing actions.,HIGH,High-quality example of complex systems management and team HF under prolonged stress.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,timeout('The read operation timed out')
42,"Air Transportation Safety Investigation Report A21P0018 – Collision with Terrain near Campbell River, BC",TSB Canada,2022,"De Havilland DHC-2 (example, floatplane/landplane single)",Commercial air-taxi (703) VFR,https://www.tsb.gc.ca/eng/rapports-reports/aviation/2021/a21p0018/a21p0018.htm,"Recent Canadian commercial occurrence with emphasis on terrain awareness, weather and operational decision-making in smaller ops.","TSB report with reconstructed flight path, weather, operational context and findings on pilot decision making.",Terrain/weather SA; objective to complete short commercial leg; route/altitude/continued-VFR actions.,MEDIUM,Type/operation approximated here; you can refine from the PDF text for precise classification.,DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,HTTPError 404: Not Found
43,Air Transportation Safety Investigation Report A21P0018 – Official PDF (data artefact),TSB Canada,2022,Same as A21P0018,Same as A21P0018,https://www.bst.gc.ca/sites/default/files/rapports-reports/aviation/A21P0018/eng/a21p0018.pdf,"PDF artefact with structured sections (1.x factual, 2.x analysis) suitable for automated parsing and timeline extraction.","Complete factual section, including chronological sequence, aircraft/pilot data and environmental conditions.",Meta-level HF axes (enables extraction of SA/intention/action at text level rather than new occurrence).,HIGH,"Treat as separate document-level candidate if your pipeline indexes artefacts, not just occurrences.",DOWNLOADED,https://www.bst.gc.ca/sites/default/files/rapports-reports/aviation/A21P0018/eng/a21p0018.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/43__2022__TSB-Canada__Same-as-A21P0018__Air-Transportation-Safety-Investigation-Repor.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/43__2022__TSB-Canada__Same-as-A21P0018__Air-Transportation-Safety-Investigation-Repor.txt,1735621,9b88994413e60261135547418d58ef56eda63c564f313322c1d13edf7356b09e,TXT_EXTRACTED,
44,Eastern Air Lines Flight 401 – NTSB PDF Artefact (data source),NTSB (USA),1973,Lockheed L-1011-1,Part 121 scheduled passenger,https://www.faasafety.gov/files/events/SO/SO15/2023/SO15120983/Eastern_Air_Lines_Flight_401_-_Wikipedia.pdf,"Additional structured document to support automated parsing of timeline, beyond primary AAR.","Contains summarized sequence, key CVR excerpts and references to original AAR.",SA/distraction axes at document level (for NLP-based SERA feature extraction).,LOW,"Secondary/derivative document; keep only if you want extra text for NLP training, not as a separate occurrence.",DOWNLOADED,https://www.faasafety.gov/files/events/SO/SO15/2023/SO15120983/Eastern_Air_Lines_Flight_401_-_Wikipedia.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/44__1973__NTSB-USA__Lockheed-L-1011-1__Eastern-Air-Lines-Flight-401-NTSB-PDF-Artef.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/44__1973__NTSB-USA__Lockheed-L-1011-1__Eastern-Air-Lines-Flight-401-NTSB-PDF-Artef.txt,548137,583ee75e39ca7a8b94143bc17143624afbba8df86d765cb6309a7d79f15fe7c1,TXT_EXTRACTED,
45,US Airways Flight 1549 – Lessons Learned/summary artefact,NTSB/FAA (summary),2010,Airbus A320-214,Part 121 scheduled passenger,https://www.nrc.gov/docs/ml1122/ml11228a218.pdf,"Nuclear Regulatory Commission case-study document on Flt 1549 with structured HF lessons, good for SERA coding examples.","Summarized timeline, key decisions and CRM themes extracted from primary AAR.","Positive HF axes (SA, teamwork, decision quality) summarized for quick reference.",MEDIUM,"Derivative but high-quality summary; keep as supplementary text, not primary factual source.",DOWNLOAD_FAILED,,,,,,,NOT_ATTEMPTED,timeout('The read operation timed out')
46,Air transportation safety investigation report A20Q0015 – Canada (helicopter/GA occurrence),TSB Canada,2021,Light helicopter or small aircraft (see report for exact type),Commercial or private (to be refined),https://tsb.gc.ca/sites/default/files/rapports-reports/aviation/a20q0015/eng/a20q0015.pdf,"Recent TSB report with clear 1.x factual sections and human-factor findings, suitable for SERA timeline extraction.","Includes reconstructed flight profile, pilot decision path and environmental factors.",SA and intention/continuation axes depending on actual occurrence details.,MEDIUM,Placeholder to ensure coverage of more recent small-operator HF events; refine attributes from the PDF when you ingest.,DOWNLOADED,https://tsb.gc.ca/sites/default/files/rapports-reports/aviation/a20q0015/eng/a20q0015.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/46__2021__TSB-Canada__Light-helicopter-or-small-aircraft-see-report-for-exact-type__Air-transportation-safety-investigation-repor.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/46__2021__TSB-Canada__Light-helicopter-or-small-aircraft-see-report-for-exact-type__Air-transportation-safety-investigation-repor.txt,1460354,defee3b77f8e2cbbb32cc225680022beb3205b40f067a1549e0f357c727d5b93,TXT_EXTRACTED,
47,Air Florida Flight 90 – NTSB AAR-82/08 PDF artefact (data source),NTSB (USA),1982,Boeing 737-222,Part 121 scheduled passenger,https://www.fss.aero/accident-reports/dvdfiles/US/1982-01-13-US.pdf,Alternate mirror of AAR-82/08 providing robust PDF for parsing where ntsb.gov copies are rate-limited.,Full accident report including factual and analysis sections.,"Weather/SA and de-icing HF axes, same occurrence as candidate 37.",HIGH,Treat as document-level duplicate for technical ingestion robustness.,DOWNLOADED,https://www.fss.aero/accident-reports/dvdfiles/US/1982-01-13-US.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/47__1982__NTSB-USA__Boeing-737-222__Air-Florida-Flight-90-NTSB-AAR-82-08-PDF-ar.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/47__1982__NTSB-USA__Boeing-737-222__Air-Florida-Flight-90-NTSB-AAR-82-08-PDF-ar.txt,56756355,d8c341ee667ef56970b59ce3fa33785be68110474fce7bdd716f3118d2856947,TXT_EXTRACTED,
48,USAir Flight 1493 Runway Collision – NTSB AAR-91/08 mirror PDF,NTSB (USA),1991,B737-300 / SA-227-AC,Part 121 + commuter,https://www.fss.aero/accident-reports/dvdfiles/US/1991-02-01-US.pdf,Mirror source of AAR-91/08 with stable hosting for ingestion.,"Same factual content as primary AAR, suitable for redundancy.",Tower/ATC and cockpit SA axes.,HIGH,"Again, duplicate at occurrence level; use only if your system distinguishes documents.",DOWNLOADED,https://www.fss.aero/accident-reports/dvdfiles/US/1991-02-01-US.pdf,application/pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool/48__1991__NTSB-USA__B737-300-SA-227-AC__USAir-Flight-1493-Runway-Collision-NTSB-AAR.pdf,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/48__1991__NTSB-USA__B737-300-SA-227-AC__USAir-Flight-1493-Runway-Collision-NTSB-AAR.txt,51274456,9a9adb2e688f9ed892d320e4aae40c8b63757fab420dc8da50b24ede55b3feaf,TXT_EXTRACTED,
