eventIdOrExternalId,canonicalEventName,aliases,localCorpusPresence,localTxtPaths,localTxtQuality,localScreeningCategory,externalCandidatePresence,externalCandidateId,externalCategory,sourceAuthority,sourceValidationStatus,escapePointUsefulness,opusPriority,nextAction,notes
TXT-015,AVIATION-INVESTIGATION-FINAL-REPORT-WPR18MA08,Aviation Investigation Final Report WPR18MA08,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/19__2021__NTSB-USA__Eurocopter-EC130__Aviation-Investigation-Final-Report-WPR18MA08.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-029,BS211-Q400,BS211 Q400,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/1__2010__NTSB-USA__DHC-8-402-Q400__Loss-of-Control-on-Approach-Colgan-Air-Conti.txt,TXT_GOOD,HF_POSITIVE_CANDIDATE,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Prioritize for future batch,LOCAL_ONLY_FROM_89_TXT
TXT-005,CRASH-DURING-NIGHTTIME-NONPRECISION-APPROACH,Crash During Nighttime Nonprecision Approach,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/3__2014__NTSB-USA__Airbus-A300-600F__Crash-During-Nighttime-Nonprecision-Approach.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-032,CRASH-DURING-NONPRECISION-INSTRUMENT-APPROACH,Crash During Nonprecision Instrument Approach,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/32__2016__NTSB-USA__Hawker-HS-125-700A__Crash-During-Nonprecision-Instrument-Approach.txt,TXT_GOOD,HF_POSITIVE_CANDIDATE,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Prioritize for future batch,LOCAL_ONLY_FROM_89_TXT
TXT-031,CRASH-OF-PINNACLE-AIRLINES-FLIGHT-3701-CRJ-20,Crash of Pinnacle Airlines Flight 3701 CRJ 20,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/33__2007__NTSB-USA__CRJ-200__Crash-of-Pinnacle-Airlines-Flight-3701-CRJ-20.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-058,CROSSAIR-FLIGHT-3597-AVRO-RJ100-HB-IXM-CFI,Crossair Flight 3597 Avro RJ100 HB IXM CFI,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-4__2002__SUST-Switzerland__Avro-RJ100__Crossair-Flight-3597-Avro-RJ100-HB-IXM-CFI.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-040,DELTA-AIR-LINES-FLIGHT-191-L-1011-DFW-MICRO,Delta Air Lines Flight 191 L 1011 DFW Micro,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-11__1986__NTSB-USA__Lockheed-L-1011-TriStar__Delta-Air-Lines-Flight-191-L-1011-DFW-Micro.txt,TXT_USABLE_WITH_CAUTION,TECHNICAL_DOMINANT_NEGATIVE_CONTROL,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,NEGATIVE_CONTROL_HIGH,OPUS_NEGATIVE_CONTROL_PACKET,Use as negative control,LOCAL_ONLY_FROM_89_TXT
TXT-056,EUROCOPTER-AS332-L2-SUPER-PUMA-G-WNSB-SUMBU,Eurocopter AS332 L2 Super Puma G WNSB Sumbu,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-21__2016__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__Eurocopter-AS332-L2-Super-Puma-G-WNSB-Sumbu.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-049,EUROCOPTER-EC130-B4-GRAND-CANYON-AIR-TOUR-201,Eurocopter EC130 B4 Grand Canyon air tour 201,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-30__2021__NTSB-USA__Eurocopter-EC130-B4__Eurocopter-EC130-B4-Grand-Canyon-air-tour-201.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-017,FINAL-REPORT-ACCIDENT-TO-AIRBUS-A330-203-F,Final Report Accident to Airbus A330 203 F,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/7__2012__BEA-France__Airbus-A330-203__Final-Report-Accident-to-Airbus-A330-203-F.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-079,FIRST-AIR-6560-TSB-A11H0002,FIRST AIR 6560 TSB A11H0002,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/FIRST-AIR-6560-TSB-A11H0002.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-081,G-BLUN-OFFSHORE-AAIB-AAR-7-2008,G BLUN OFFSHORE AAIB AAR 7 2008,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/G-BLUN-OFFSHORE-AAIB-AAR-7-2008.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-067,G-REDL-AAIB-2-2011,G REDL AAIB 2 2011,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-22__2011__AAIB-UK__Eurocopter-AS332-L2-Super-Puma__G-REDL-AAIB-2-2011.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-061,GOL-1907-ASN-MIRROR,Gol 1907 ASN mirror,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-7__2008__CENIPA-Brazil__Boeing-737-8EH__Gol-1907-ASN-mirror.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-044,HELICOPTER-EMS-S-76B-NIGHT-CFIT-DURING-EMS,Helicopter EMS S 76B Night CFIT during EMS,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-31__2000__NTSB-USA__Sikorsky-S-76B__Helicopter-EMS-S-76B-Night-CFIT-during-EMS.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-041,HELIKOPTER-SERVICE-FLIGHT-451-EUROCOPTER-AS,Helikopter Service Flight 451 Eurocopter AS,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-44__2001__AIBN-Norway__Eurocopter-AS332-L1-Super-Puma__Helikopter-Service-Flight-451-Eurocopter-AS.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-078,KEGWORTH-GOBME-AAIB-4-1990,KEGWORTH GOBME AAIB 4 1990,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/KEGWORTH-GOBME-AAIB-4-1990.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-018,KOREAN-801,KOREAN 801,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/KOREAN-801-NTSB-AAR0001.txt; docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/5__2000__NTSB-USA__Boeing-747-300__Controlled-Flight-Into-Terrain-Korean-Air-Fl.txt,TXT_GOOD,HF_MIXED_TECHNICAL_HUMAN / HF_POSITIVE_CANDIDATE,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Map to known event lane,LOCAL_ONLY_FROM_89_TXT
TXT-050,LEARJET-35A-N47BA-CFIT-NEAR-ABERDEEN-SD-199,Learjet 35A N47BA CFIT near Aberdeen SD 199,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-38__2000__NTSB-USA__Learjet-35A__Learjet-35A-N47BA-CFIT-near-Aberdeen-SD-199.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-062,NTSB-AAR-86-05-DELTA-191,NTSB AAR 86 05 Delta 191,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/40__1986__NTSB-USA__Lockheed-L-1011-385-1__NTSB-AAR-86-05-Delta-191.txt,TXT_USABLE_WITH_CAUTION,TECHNICAL_DOMINANT_NEGATIVE_CONTROL,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,NEGATIVE_CONTROL_HIGH,OPUS_NEGATIVE_CONTROL_PACKET,Use as negative control,LOCAL_ONLY_FROM_89_TXT
CONTROL-REAL-EVENT-0003,REAL-EVENT-0003,REAL-EVENT-0003,NO,,TXT_UNKNOWN,NONE,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Preserve control-board status; do not open P/O/A in A4R150.,CONTROL_BOARD_ONLY
CONTROL-REAL-EVENT-0016,REAL-EVENT-0016,REAL-EVENT-0016,NO,,TXT_UNKNOWN,NONE,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Preserve control-board status; do not open P/O/A in A4R150.,CONTROL_BOARD_ONLY
TXT-082,REAL-EVENT-0016-MULTI-EVENT-PACKET,REAL EVENT 0016 (multi event packet),YES,docs/sera-vnext/source-corpus/txt-events/pdf24_merged.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Map to known event lane,LOCAL_ONLY_FROM_89_TXT
TXT-053,RL-2020-06E-HELICOPTER-EMERGENCY-MEDICAL-SE,RL 2020 06e Helicopter emergency medical se,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-46__2020__SHK-Sweden__EC135-H145-class-EMS-helicopter__RL-2020-06e-Helicopter-emergency-medical-se.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-059,RL-2022-06E-HELICOPTER-ACCIDENT-SWEDEN-SHK,RL 2022 06e Helicopter accident Sweden SHK,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-47__2022__SHK-Sweden__Light-helicopter-see-report__RL-2022-06e-Helicopter-accident-Sweden-SHK.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-002,RUNWAY-OVERRUN-AND-FIRE-AIR-FRANCE-FLIGHT-35,Runway Overrun and Fire Air France Flight 35,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/10__2007__TSB-Canada__Airbus-A340-313__Runway-Overrun-and-Fire-Air-France-Flight-35.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-057,SHK-2023-10E-HELICOPTER-ACCIDENT-AT-ENKOPIN,SHK 2023 10e Helicopter accident at Enköpin,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-48__2023__SHK-Sweden__Light-utility-helicopter__SHK-2023-10e-Helicopter-accident-at-Enköpin.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-052,SHK-2025-18E-HELICOPTER-ACCIDENT-SWEDEN-AU,SHK 2025 18e Helicopter accident Sweden au,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-49__2025__SHK-Sweden__Helicopter-likely-EC-series__SHK-2025-18e-Helicopter-accident-Sweden-au.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-036,SIKORSKY-S-61N-G-ASNL-OFFSHORE-ACCIDENT-11,Sikorsky S 61N G ASNL offshore accident 11,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-43__1983__AAIB-UK__Sikorsky-S-61N__Sikorsky-S-61N-G-ASNL-offshore-accident-11.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-037,SIKORSKY-S-61N-G-BEON-BRITISH-AIRWAYS-HELIC,Sikorsky S 61N G BEON British Airways Helic,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-41__1984__AAIB-UK__Sikorsky-S-61N__Sikorsky-S-61N-G-BEON-British-Airways-Helic.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-048,SIKORSKY-S-61N-G-BEWL-BRENT-SPAR-EAST-SHET,Sikorsky S 61N G BEWL Brent Spar East Shet,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-42__1991__AAIB-UK__Sikorsky-S-61N__Sikorsky-S-61N-G-BEWL-Brent-Spar-East-Shet.txt,TXT_OCR_POOR,SOURCE_INSUFFICIENT,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,LOW,OPUS_SOURCE_RECOVERY_ONLY,Recover better local text,LOCAL_ONLY_FROM_89_TXT
TXT-045,SIKORSKY-S-76A-OFFSHORE-CFIT-GULF-OF-MEXIC,Sikorsky S 76A offshore CFIT Gulf of Mexic,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-29__2006__NTSB-USA__Sikorsky-S-76A__Sikorsky-S-76A-offshore-CFIT-Gulf-of-Mexic.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-043,TAM-AIRLINES-FLIGHT-3054-AIRBUS-A320-233-PR,TAM Airlines Flight 3054 Airbus A320 233 PR,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-6__2009__CENIPA-Brazil__Airbus-A320-233__TAM-Airlines-Flight-3054-Airbus-A320-233-PR.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-064,TSB-A09A0016-COUGAR-S-92A,TSB A09A0016 Cougar S 92A,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/34__2011__TSB-Canada__Sikorsky-S-92A__TSB-A09A0016-Cougar-S-92A.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-063,TSB-A11H0002-FIRST-AIR-6560-RESOLUTE-BAY,TSB A11H0002 First Air 6560 Resolute Bay,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/9__2014__TSB-Canada__Boeing-737-210C__TSB-A11H0002-First-Air-6560-Resolute-Bay.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-068,TSB-A13H0001-ORNGE-S-76A-MOOSONEE,TSB A13H0001 Ornge S 76A Moosonee,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/12__2016__TSB-Canada__Sikorsky-S-76A__TSB-A13H0001-Ornge-S-76A-Moosonee.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-060,TSB-A13W0070-BELL-206B-FORT-MCMURRAY,TSB A13W0070 Bell 206B Fort McMurray,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-24__2015__TSB-Canada__Bell-206B__TSB-A13W0070-Bell-206B-Fort-McMurray.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-071,TSB-A15H0002-AIR-CANADA-A320-HALIFAX,TSB A15H0002 Air Canada A320 Halifax,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/8__2017__TSB-Canada__Airbus-A320-211__TSB-A15H0002-Air-Canada-A320-Halifax.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-070,TSB-A21C0038-AS350-GRIFFITH-ISLAND,TSB A21C0038 AS350 Griffith Island,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/27__2024__TSB-Canada__Airbus-AS350-B2__TSB-A21C0038-AS350-Griffith-Island.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-066,TSB-A21P0018-COLLISION-TERRAIN-BOWEN-ISLAND,TSB A21P0018 Collision Terrain Bowen Island,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/42__2022__TSB-Canada__Bell-212__TSB-A21P0018-Collision-Terrain-Bowen-Island.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-006,TUROY-EC225,TUROY EC225,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/18__2018__AIBN-Norway__Airbus-EC225-LP__Airbus-Helicopters-EC225-LP-LN-OJF-Turøy-Norw.txt; docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-23__2018__AIBN-Norway__Airbus-EC225-LP-Super-Puma__Airbus-Helicopters-EC225-LP-LN-OJF-Turøy-No.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Map to known event lane,LOCAL_ONLY_FROM_89_TXT
TXT-074,UPS-1354-NTSB-AAR1402,UPS 1354 NTSB AAR1402,YES,docs/sera-vnext/source-corpus/official-reports/a4r105-curated-txt/UPS-1354-NTSB-AAR1402.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-069,UPS6-CAA-UK-MIRROR,UPS6 CAA UK mirror,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-recovered-pool-txt/NEW50-35__2013__GCAA-UAE__Boeing-747-44AF__UPS6-CAA-UK-mirror.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-025,US-AIRWAYS-1549,US AIRWAYS 1549,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/39__2010__NTSB-USA__Airbus-A320-214__Aircraft-Accident-Report-AAR-10-03-US-Airwa.txt; docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-15__2010__NTSB-USA__Airbus-A320-214__US-Airways-Flight-1549-A320-214-Ditching-Hu.txt,TXT_USABLE_WITH_CAUTION,TECHNICAL_DOMINANT_NEGATIVE_CONTROL,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,NEGATIVE_CONTROL_HIGH,OPUS_NEGATIVE_CONTROL_PACKET,Use as negative control,LOCAL_ONLY_FROM_89_TXT
TXT-014,USAIR-FLIGHT-1493-RUNWAY-COLLISION-NTSB-AAR,USAir Flight 1493 Runway Collision NTSB AAR,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-full-pool-txt/48__1991__NTSB-USA__B737-300-SA-227-AC__USAir-Flight-1493-Runway-Collision-NTSB-AAR.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
TXT-034,USAIR-FLIGHT-427-LOSS-OF-CONTROL-BOEING-73,USAir Flight 427 Loss of Control Boeing 73,YES,docs/sera-vnext/source-corpus/official-reports/a4r111-new50-pool-txt/NEW50-2__1999__NTSB-USA__Boeing-737-300__USAir-Flight-427-Loss-of-Control-Boeing-73.txt,TXT_USABLE_WITH_CAUTION,HF_MIXED_TECHNICAL_HUMAN,NO,NONE,NONE,OTHER,LOCAL_TXT_ONLY_NEEDS_OFFICIAL_LINK,MEDIUM,OPUS_SECONDARY_PACKET,Queue for focused extraction,LOCAL_ONLY_FROM_89_TXT
